level,string,length,n_leave_node,n_ending,n
4,"宝玉也不理",5,3,3,3
3,"宝玉也来了",5,2,2,2
2,"宝玉又",3,30,41,66
3,"宝玉又道",4,9,9,9
3,"宝玉又说",4,4,4,4
3,"宝玉又是",4,4,4,4
3,"宝玉又笑道",5,3,3,3
3,"宝玉又问",4,3,3,3
3,"宝玉又见",4,3,3,3
3,"宝玉又诧异道",6,2,2,2
2,"宝玉在",3,17,29,58
3,"宝玉在傍",4,5,6,7
4,"宝玉在傍看着",6,2,2,2
3,"宝玉在这里",5,5,5,5
3,"宝玉在外间",5,2,2,2
2,"宝玉只",3,16,21,56
3,"宝玉只得",4,18,22,27
4,"宝玉只得答应",6,1,2,3
5,"宝玉只得答应着",7,2,2,2
4,"宝玉只得回来",6,2,2,2
4,"宝玉只得来到",6,2,2,2
3,"宝玉只管",4,5,5,5
3,"宝玉只当是",5,2,2,2
2,"宝玉因",3,23,34,55
3,"宝玉因问",4,9,10,11
3,"宝玉因见",4,3,3,3
2,"宝玉不",3,22,35,53
3,"宝玉不知",4,4,4,4
3,"宝玉不便",4,2,3,4
4,"宝玉不便说出",6,2,2,2
3,"宝玉不等说完",6,2,2,2
2,"宝玉看了",4,19,20,21
3,"宝玉看了仍不解",7,2,2,2
2,"宝玉看时",4,9,9,9
2,"宝玉看见",4,8,8,8
2,"宝玉来",3,18,22,43
3,"宝玉来了",4,17,17,17
2,"宝玉回来",4,9,9,9
2,"宝玉回至园中",6,2,2,2
2,"宝玉说",3,14,19,32
3,"宝玉说道",4,7,7,7
3,"宝玉说话",4,5,5,5
2,"宝玉心中",4,13,13,13
2,"宝玉心里想道",6,2,2,2
2,"宝玉心迷走失",6,2,2,2
2,"宝玉进来",4,14,15,16
2,"宝玉进去",4,5,5,5
2,"宝玉自",3,10,16,28
3,"宝玉自己",4,6,6,6
3,"宝玉自觉",4,4,4,4
2,"宝玉等",3,18,23,28
2,"宝玉正",3,12,17,26
3,"宝玉正在",4,6,6,6
2,"宝玉和",3,12,16,24
3,"宝玉和林",4,4,4,4
3,"宝玉和他",4,4,4,4
2,"宝玉方",3,12,15,21
3,"宝玉方才",4,3,4,5
4,"宝玉方才的",5,2,2,2
2,"宝玉虽",3,9,13,20
3,"宝玉虽然病",5,2,2,2
3,"宝玉虽不",4,3,3,3
2,"宝玉是",3,13,15,19
3,"宝玉是个",4,4,4,4
2,"宝玉去",3,13,14,19
3,"宝玉去了",4,6,6,6
2,"宝玉出去",4,7,7,7
2,"宝玉出来",4,4,4,4
2,"宝玉之",3,12,15,18
2,"宝玉还",3,10,13,17
3,"宝玉还要",4,3,3,3
3,"宝玉还欲看时",6,2,2,2
2,"宝玉答应了",5,4,5,7
3,"宝玉答应了个",6,3,3,3
2,"宝玉答应着",5,6,6,6
2,"宝玉想道",4,4,4,4
2,"宝玉想了一想",6,3,3,3
2,"宝玉问他",4,7,7,7
2,"宝玉那里",4,6,7,10
3,"宝玉那里肯",5,4,4,4
2,"宝玉走到床前",6,2,2,2
2,"宝玉走到跟前",6,2,2,2
2,"宝玉走来",4,4,4,4
2,"宝玉点头",4,9,11,13
3,"宝玉点头叹道",6,2,2,2
2,"宝玉此时",4,13,13,13
2,"宝玉无",3,9,11,15
3,"宝玉无奈",4,4,4,4
3,"宝玉无言可答",6,2,2,2
2,"宝玉已经",4,6,6,6
2,"宝玉连忙",4,9,9,9
2,"宝玉房里的",5,3,3,3
2,"宝玉素日",4,5,5,5
2,"宝玉素昔",4,4,4,4
2,"宝玉病着",4,3,3,3
2,"宝玉病后",4,3,3,3
2,"宝玉却",3,11,12,13
3,"宝玉却等不得",6,2,2,2
2,"宝玉站起来",5,3,3,3
2,"宝玉有",3,9,10,12
3,"宝玉有些",4,3,3,3
2,"宝玉将方才的话",7,2,2,2
2,"宝玉都笑了",5,2,2,2
2,"宝玉都有",4,2,2,2
2,"宝玉没法",4,4,4,4
2,"宝玉喜不自",5,1,2,3
3,"宝玉喜不自禁",6,2,2,2
2,"宝玉喜的",4,1,2,3
3,"宝玉喜的忙",5,2,2,2
2,"宝玉喜欢",4,2,2,2
2,"宝玉先前",4,2,2,2
2,"宝玉贾兰",4,5,5,5
2,"宝玉贾环",4,3,3,3
2,"宝玉要",3,9,9,9
2,"宝玉睡着",4,2,2,2
2,"宝玉睡下",4,2,2,2
2,"宝玉本来",4,3,3,3
2,"宝玉未及",4,1,2,3
3,"宝玉未及答言",6,2,2,2
2,"宝玉未必",4,2,2,2
2,"宝玉早已",4,4,4,4
2,"宝玉同着",4,4,4,4
2,"宝玉仍",3,9,9,9
2,"宝玉上来",4,3,3,3
2,"宝玉上了",4,3,3,3
2,"宝玉上学之",5,2,2,2
2,"宝玉接过",4,2,2,2
2,"宝玉吃了",4,5,5,5
2,"宝玉叹道",4,4,4,4
2,"宝玉叹了一",5,2,2,2
2,"宝玉叫",3,8,8,8
2,"宝玉冷笑道",5,7,7,7
2,"宝玉拿着",4,2,2,2
2,"宝玉拿了",4,2,2,2
2,"宝玉打开",4,2,2,2
2,"宝玉忽然",4,3,4,5
3,"宝玉忽然想起",6,2,2,2
2,"宝玉应了",4,2,2,2
2,"宝玉坐在",4,2,2,2
2,"宝玉坐了",4,2,2,2
2,"宝玉命取",4,2,2,2
2,"宝玉命他",4,2,2,2
2,"宝玉会意",4,5,5,5
2,"宝玉为人",4,2,2,2
2,"宝玉起来",4,4,4,4
2,"宝玉起身",4,2,2,2
2,"宝玉知道",4,4,4,4
2,"宝玉急了",4,2,2,2
2,"宝玉急的",4,2,2,2
2,"宝玉就走",4,2,2,2
2,"宝玉尚未",4,3,3,3
2,"宝玉向林黛玉",6,2,2,2
2,"宝玉近来",4,2,2,2
2,"宝玉近因",4,2,2,2
2,"宝玉过来",4,2,2,2
2,"宝玉请了安",5,2,2,2
2,"宝玉请安",4,2,2,2
2,"宝玉果然",4,3,3,3
2,"宝玉明白",4,1,2,3
3,"宝玉明白了",5,2,2,2
2,"宝玉明知",4,2,2,2
2,"宝玉拉了",4,3,3,3
2,"宝玉拉着",4,2,2,2
2,"宝玉悄悄",4,1,2,4
3,"宝玉悄悄的",5,3,3,3
2,"宝玉定了",4,3,3,3
2,"宝玉头上",4,2,3,4
3,"宝玉头上戴着",6,2,2,2
2,"宝玉原是",4,2,2,2
2,"宝玉倒吓了一跳",7,2,2,2
2,"宝玉下学",4,2,2,2
2,"宝玉轻轻的走",6,2,2,2
2,"宝玉黛玉二人",6,2,2,2
2,"宝玉喝了两口",6,2,2,2
2,"宝玉越发",4,1,2,3
3,"宝玉越发急",5,2,2,2
2,"宝玉若有",4,2,2,2
2,"宝玉背着手",5,2,2,2
2,"宝玉红了脸",5,3,3,3
2,"宝玉竟是",4,2,2,2
2,"宝玉放了",4,1,2,3
3,"宝玉放了心",5,2,2,2
2,"宝玉恨不得",5,2,2,2
2,"宝玉恨的",4,2,2,2
2,"宝玉恍恍惚惚",6,3,3,3
2,"宝玉性情",4,2,2,2
2,"宝玉念道",4,2,2,2
2,"宝玉哭道",4,3,3,3
2,"宝玉发了一",5,1,2,3
3,"宝玉发了一回",6,2,2,2
2,"宝玉今儿",4,2,2,2
2,"宝玉湘云等",5,2,2,2
2,"宝玉梳洗了",5,2,2,2
2,"宝玉通灵",4,2,2,2
2,"宝玉赶上",4,2,2,2
2,"宝玉瞅了",4,2,2,2
2,"宝玉睁眼",4,2,2,2
2,"宝玉着急",4,2,2,2
2,"宝玉痛哭",4,2,2,2
2,"宝玉环兰",4,2,2,2
2,"宝玉每日",4,2,2,2
2,"宝玉昨夜",4,2,2,2
2,"宝玉既有",4,2,2,2
2,"宝玉必要",4,2,2,2
2,"宝玉待他",4,2,2,2
2,"宝玉失玉",4,2,2,2
2,"宝玉外头",4,2,2,2
2,"宝玉告诉",4,2,2,2
2,"宝玉两个",4,2,2,2
2,"宝玉漱了一口",6,2,2,2
1,"宝钗",2,191,295,1079
2,"宝钗道",3,137,137,137
2,"宝钗笑道",4,93,93,93
2,"宝钗听了",4,19,20,22
3,"宝钗听了这话",6,3,3,3
2,"宝钗听说",4,12,12,12
2,"宝钗听见这话",6,2,2,2
2,"宝钗听见了",5,2,2,2
2,"宝钗等",3,23,30,45
3,"宝钗等都",4,4,5,7
4,"宝钗等都笑",5,3,3,3
3,"宝钗等也",4,4,4,4
3,"宝钗等听了",5,2,2,2
2,"宝钗便",3,15,20,28
3,"宝钗便说",4,5,5,5
2,"宝钗的",3,17,19,23
3,"宝钗的话",4,3,3,3
3,"宝钗的事",4,3,3,3
2,"宝钗也",3,17,18,22
3,"宝钗也不",4,3,4,5
4,"宝钗也不理他",6,2,2,2
2,"宝钗见他",4,7,8,9
3,"宝钗见他这",5,2,2,2
2,"宝钗见王夫人",6,2,2,2
2,"宝钗忙劝道",5,3,3,3
2,"宝钗忙一把拉住",7,2,2,2
2,"宝钗因",3,10,13,20
3,"宝钗因笑道",5,5,5,5
2,"宝钗说",3,9,12,19
3,"宝钗说道",4,6,6,6
2,"宝钗袭人",4,6,8,13
2,"宝钗又",3,11,12,13
2,"宝钗不",3,7,10,13
2,"宝钗在",3,10,11,12
2,"宝钗走来",4,6,6,6
2,"宝钗看",3,8,9,11
3,"宝钗看了",4,3,3,3
2,"宝钗一",3,7,9,11
3,"宝钗一傍笑道",6,2,2,2
2,"宝钗黛玉",4,7,8,9
3,"宝钗黛玉等",5,2,2,2
2,"宝钗姊妹",4,7,8,9
3,"宝钗姊妹等",5,2,2,2
2,"宝钗进来",4,3,3,3
2,"宝钗虽",3,6,7,8
3,"宝钗虽是",4,2,2,2
2,"宝钗点头",4,3,4,5
3,"宝钗点头道",5,2,2,2
2,"宝钗想了一想",6,3,3,3
2,"宝钗宝琴",4,4,4,4
2,"宝钗宝玉",4,3,3,3
2,"宝钗如何",4,2,2,2
2,"宝钗坐在",4,4,4,4
2,"宝钗坐了",4,2,2,2
2,"宝钗自",3,6,6,6
2,"宝钗素知",4,4,4,4
2,"宝钗心里",4,4,4,4
2,"宝钗劝他",4,2,2,2
2,"宝钗正在",4,2,2,2
2,"宝钗是新媳妇",6,2,2,2
2,"宝钗只得",4,3,3,3
2,"宝钗明知",4,1,2,3
3,"宝钗明知是",5,2,2,2
2,"宝钗急的",4,3,3,3
2,"宝钗叫袭人",5,2,2,2
2,"宝钗叫人",4,2,2,2
2,"宝钗原是",4,2,2,2
2,"宝钗从那边",5,2,2,2
2,"宝钗答应着",5,2,2,2
2,"宝钗抿嘴一笑",6,2,2,2
2,"宝钗睡了",4,2,2,2
2,"宝钗手里",4,2,2,2
2,"宝钗尚未",4,2,2,2
1,"宝琴",2,64,80,125
2,"宝琴笑道",4,11,11,11
2,"宝琴也",3,5,6,8
3,"宝琴也忙",4,1,2,3
4,"宝琴也忙笑",5,2,2,2
2,"宝琴等",3,7,7,7
2,"宝琴道",3,5,5,5
2,"宝琴的",3,4,4,4
2,"宝琴湘云等",5,2,2,2
1,"宝蟾",2,57,75,116
2,"宝蟾道",3,14,14,14
2,"宝蟾也",3,4,4,4
2,"宝蟾见",3,3,3,3
2,"宝蟾笑道",4,2,2,2
2,"宝蟾不",3,3,3,3
2,"宝蟾一",3,3,3,3
2,"宝蟾急的乱嚷",6,2,2,2
1,"宝二爷",3,34,54,94
2,"宝二爷的",4,7,7,7
2,"宝二爷来了",5,5,5,5
2,"宝二爷说",4,3,4,5
3,"宝二爷说了",5,2,2,2
2,"宝二爷娶宝姑娘",7,2,2,2
2,"宝二爷那",4,3,3,3
2,"宝二爷不",4,3,3,3
2,"宝二爷上了学",6,2,2,2
1,"宝姐姐",3,40,54,80
2,"宝姐姐也",4,7,7,7
2,"宝姐姐的",4,6,6,6
2,"宝姐姐不",4,4,4,4
2,"宝姐姐送",4,3,3,3
1,"宝姑娘",3,30,40,62
2,"宝姑娘听见",5,3,3,3
2,"宝姑娘这",4,3,3,3
2,"宝姑娘来了",5,2,2,2
1,"宝兄弟",3,42,49,59
2,"宝兄弟的",4,5,5,5
1,"宝丫头",3,22,26,30
1,"宝贝",2,14,15,16
1,"宝妹妹的",4,3,3,3
1,"宝哥哥",3,6,6,6
1,"宝哥儿",3,4,4,4
1,"宝官玉官",4,2,2,2
1,"宝林二人",4,3,3,3
0,"个",1,937,1454,5671
1,"个人",2,197,259,473
2,"个人的",3,18,18,18
2,"个人都",3,10,12,17
2,"个人在",3,4,6,15
2,"个人也",3,4,7,11
3,"个人也不",4,3,3,3
2,"个人去",3,7,8,9
3,"个人去叫",4,2,2,2
2,"个人到",3,4,4,4
2,"个人进来",4,3,3,3
2,"个人坐在",4,2,2,2
2,"个人慌慌张张跑",7,2,2,2
1,"个小",2,38,58,201
2,"个小丫头",4,33,38,67
3,"个小丫头子",5,14,17,20
4,"个小丫头子进来",7,2,2,2
4,"个小丫头子在",6,2,2,2
3,"个小丫头过来",6,2,2,2
2,"个小厮",3,29,30,31
2,"个小子",3,13,13,13
2,"个小太监送",5,2,2,2
1,"个不",2,39,57,129
2,"个不是",3,18,19,20
2,"个不成",3,7,7,7
2,"个不好",3,3,3,3
1,"个丫头",3,55,65,83
2,"个丫头在",4,3,4,5
3,"个丫头在那里",6,2,2,2
2,"个丫头的",4,3,3,3
2,"个丫头来",4,3,3,3
1,"个丫鬟",3,16,20,25
2,"个丫鬟来",4,3,3,3
2,"个丫鬟端了茶来",7,2,2,2
1,"个字",2,71,78,94
1,"个好",2,30,44,89
2,"个好人",3,10,11,12
2,"个好的",3,8,8,8
2,"个好大夫来",5,2,2,2
2,"个好日子",4,3,3,3
2,"个好女婿",4,2,2,2
1,"个老",2,21,29,86
2,"个老婆子",4,23,26,30
3,"个老婆子来",5,3,3,3
3,"个老婆子走来",6,2,2,2
2,"个老嬷嬷",4,16,17,20
1,"个女",2,7,13,81
2,"个女人",3,22,24,26
2,"个女儿",3,9,9,9
1,"个大",2,49,56,78
2,"个大的",3,3,3,3
2,"个大狼皮褥子",6,2,2,2
1,"个月",2,36,44,70
2,"个月的",3,12,13,19
1,"个什么",3,40,46,59
2,"个什么人",4,3,4,5
3,"个什么人了",5,2,2,2
1,"个也",2,26,31,51
2,"个也不",3,8,10,12
1,"个钱",2,35,39,47
1,"个来",2,36,38,45
1,"个主意",3,34,35,36
1,"个一",2,12,23,43
1,"个心",2,28,32,40
1,"个头",2,30,33,38
1,"个个",2,21,25,37
2,"个个都",3,6,7,9
1,"个的",2,32,33,34
1,"个媳妇",3,22,26,33
1,"个又",2,15,20,32
1,"个没",2,13,19,29
2,"个没脸的",4,2,2,2
2,"个没主意的人",6,2,2,2
1,"个有",2,16,22,29
1,"个都",2,15,17,28
2,"个都是",3,7,8,9
1,"个眼睛",3,9,10,11
1,"个样儿",3,19,20,21
1,"个男人",3,19,20,21
1,"个宝玉",3,18,18,18
1,"个道",2,9,11,22
1,"个名字",3,9,9,9
1,"个去",2,17,18,20
1,"个空",2,9,12,19
1,"个笑儿",3,4,4,4
1,"个多月",3,5,6,7
1,"个作",2,10,13,18
2,"个作伴的",4,2,2,2
1,"个亲",2,9,12,18
2,"个亲戚",3,5,5,5
1,"个呢",2,17,17,17
1,"个说",2,8,11,17
1,"个金",2,10,13,16
1,"个外",2,8,11,15
1,"个死",2,10,12,14
1,"个极",2,9,11,14
1,"个新鲜",3,4,4,4
1,"个在",2,9,11,14
1,"个呆",2,7,8,14
2,"个呆子",3,5,6,7
3,"个呆子了",4,2,2,2
1,"个还",2,8,10,13
1,"个正经的",4,2,2,2
1,"个原故",3,12,12,12
1,"个知",2,7,9,12
1,"个我们",3,4,4,4
1,"个情",2,10,11,12
1,"个姊妹",3,9,10,11
1,"个要",2,7,9,11
1,"个二",2,7,9,11
1,"个孩子",3,10,10,10
1,"个贾琏",3,2,2,2
1,"个年老",3,1,2,3
2,"个年老的",4,2,2,2
1,"个年高有",4,2,2,2
1,"个朋友",3,9,9,9
1,"个太监",3,4,4,4
1,"个太医",3,3,3,3
1,"个天",2,7,8,9
1,"个可靠的人",5,2,2,2
1,"个可以",3,2,2,2
1,"个未留",3,1,2,3
2,"个未留头的小丫",7,2,2,2
1,"个未出",3,2,2,2
1,"个子儿",3,4,4,4
1,"个题目",3,7,7,7
1,"个荷包并",4,2,2,2
1,"个缘故",3,7,7,7
1,"个酒",2,7,7,7
1,"个妹妹",3,4,4,4
1,"个妹子",3,3,3,3
1,"个再不",3,2,2,2
1,"个风筝",3,2,2,2
1,"个锦褥",3,2,2,2
1,"个虚名",3,3,3,3
1,"个虚字",3,2,2,2
1,"个臭死",3,2,2,2
1,"个俗人",3,3,3,3
1,"个俗器",3,2,2,2
1,"个活龙",3,2,2,2
1,"个泼皮",3,4,4,4
1,"个机会",3,4,4,4
1,"个很好",3,3,3,3
1,"个宫女",3,2,2,2
1,"个学戏的女孩子",7,2,2,2
1,"个青红皂白",5,2,2,2
1,"个野意",3,2,2,2
1,"个诗题",3,2,2,2
1,"个衙役",3,2,2,2
1,"个行次",3,2,2,2
1,"个碟子",3,3,3,3
1,"个想头",3,3,3,3
1,"个姓张的",4,2,2,2
1,"个妇人",3,3,3,3
1,"个哥哥",3,2,2,2
1,"个侄女儿",4,2,2,2
1,"个菊花",3,2,2,2
1,"个能干",3,2,2,2
1,"个耳刮子",4,2,2,2
1,"个粗使",3,2,2,2
1,"个相貌",3,2,2,2
1,"个盘子",3,2,2,2
1,"个淫妇",3,2,2,2
1,"个曲牌名儿",5,2,2,2
1,"个故事",3,2,2,2
1,"个奴才",3,2,2,2
1,"个回去",3,2,2,2
1,"个周大娘",4,2,2,2
0,"子",1,1862,2218,5433
1,"子来",2,155,167,203
2,"子来给我",4,2,2,2
2,"子来给他",4,2,2,2
2,"子来与他",4,2,2,2
1,"子的",2,101,132,193
2,"子的话",3,10,10,10
2,"子的气",3,5,5,5
2,"子的好",3,4,4,4
2,"子的老",3,3,3,3
2,"子的来",3,3,3,3
2,"子的名",3,3,3,3
2,"子的分",3,3,3,3
1,"子们",2,105,124,162
2,"子们去",3,3,3,3
1,"子里",2,59,79,145
2,"子里的",3,8,10,12
2,"子里去",3,6,7,9
3,"子里去了",4,3,3,3
2,"子里一",3,5,5,5
2,"子里拿出",4,2,2,2
1,"子也",2,31,42,91
2,"子也不",3,14,18,24
3,"子也不知",4,3,3,3
2,"子也是",3,10,10,10
2,"子也没有",4,5,5,5
2,"子也就",3,4,4,4
1,"子上",2,54,62,88
2,"子上的",3,6,6,6
2,"子上一",3,5,5,5
2,"子上夜",3,3,3,3
1,"子又",2,49,59,81
2,"子又是",3,4,4,4
1,"子不",2,37,48,78
2,"子不是",3,6,6,6
2,"子不成",3,6,6,6
2,"子不在家",4,2,2,2
2,"子不能",3,3,3,3
2,"子不敢",3,3,3,3
1,"子一",2,39,51,73
2,"子一样",3,3,3,3
2,"子一大",3,3,3,3
1,"子去",2,41,43,61
1,"子都",2,34,41,59
2,"子都是",3,8,9,10
3,"子都是些",4,2,2,2
2,"子都不",3,4,4,4
2,"子都在",3,3,3,3
1,"子还",2,31,36,53
2,"子还有",3,4,5,7
2,"子还在",3,3,3,3
1,"子了",2,48,48,48
1,"子就",2,21,27,44
2,"子就完了",4,6,6,6
2,"子就是",3,4,5,6
3,"子就是了",4,2,2,2
1,"子说",2,20,25,42
2,"子说得很是",5,2,2,2
1,"子是",2,30,34,39
2,"子是谁",3,3,3,3
1,"子在",2,16,24,39
2,"子在院里问道",6,2,2,2
1,"子呢",2,38,38,38
1,"子打",2,16,21,30
2,"子打了个",4,2,2,2
2,"子打了一",4,2,2,2
2,"子打着",3,3,3,3
1,"子笑道",3,16,16,16
1,"子弟",2,19,22,27
2,"子弟们",3,4,4,4
1,"子兴",2,11,14,27
2,"子兴道",3,10,10,10
2,"子兴笑道",4,3,3,3
2,"子兴叹道",4,3,3,3
1,"子好",2,21,23,26
1,"子出来",3,11,11,11
1,"子倒",2,12,16,24
2,"子倒了",3,4,4,4
2,"子倒不",3,4,4,4
1,"子侄",2,14,18,22
1,"子吃",2,11,15,21
1,"子给你",3,4,4,4
1,"子有",2,14,17,20
1,"子拿来",3,5,5,5
1,"子拿了",3,5,5,5
1,"子之",2,11,13,20
1,"子送了",3,7,8,9
2,"子送了来",4,2,2,2
1,"子你",2,10,14,18
1,"子孙",2,13,15,17
1,"子与",2,13,15,17
1,"子罢",2,8,10,16
1,"子没",2,12,13,16
2,"子没有",3,4,4,4
1,"子才",2,11,13,16
2,"子才好",3,3,3,3
1,"子大",2,12,13,15
1,"子叫来",3,3,3,3
1,"子已经",3,7,7,7
1,"子到",2,9,11,13
1,"子竟是",3,3,3,3
1,"子竟有",3,2,2,2
1,"子请他",3,2,2,2
1,"子自然",3,4,4,4
1,"子瞧了",3,2,2,2
1,"子正在",3,1,2,3
2,"子正在那里",5,2,2,2
1,"子头里",3,2,2,2
1,"子头上",3,2,2,2
1,"子做什么",4,2,2,2
1,"子做了",3,2,2,2
1,"子东西",3,5,5,5
1,"子替他",3,2,2,2
1,"子身上",3,3,3,3
1,"子生得",3,2,2,2
1,"子接了",3,3,3,3
1,"子宝琴",3,2,2,2
1,"子住在",3,2,2,2
1,"子闲了",3,2,2,2
1,"子死了",3,2,2,2
1,"子总不",3,3,3,3
1,"子必是",3,2,2,2
1,"子女儿",3,2,2,2
1,"子名唤",3,3,3,3
1,"子以后",3,2,2,2
1,"子逼着",3,2,2,2
1,"子递与",3,2,2,2
1,"子老婆",3,2,2,2
1,"子站在",3,2,2,2
1,"子留下",3,2,2,2
1,"子极大",3,2,2,2
1,"子本是",3,2,2,2
1,"子明儿",3,2,2,2
1,"子挪在",3,2,2,2
1,"子弄的",3,2,2,2
1,"子底下",3,2,2,2
0,"又",1,309,723,5205
1,"又不",2,71,115,410
2,"又不好",3,30,37,54
3,"又不好说",4,4,6,8
4,"又不好说什么",6,2,2,2
4,"又不好说的",5,2,2,2
3,"又不好叫",4,4,4,4
2,"又不敢",3,28,37,51
3,"又不敢笑",4,4,4,4
3,"又不敢造次",5,3,3,3
3,"又不敢违拗",5,2,2,2
3,"又不敢哭泣",5,2,2,2
2,"又不是",3,30,38,49
3,"又不是我的",5,2,2,2
3,"又不是什么正经事",8,2,2,2
3,"又不是咱们家的",7,2,2,2
2,"又不知",3,13,20,37
3,"又不知怎么",5,1,3,6
4,"又不知怎么样",6,1,2,3
5,"又不知怎么样了",7,2,2,2
4,"又不知怎么了",6,2,2,2
3,"又不知谁",4,3,3,3
3,"又不知要",4,3,3,3
3,"又不知过了几世几劫",9,2,2,2
2,"又不能",3,13,13,13
2,"又不得",3,7,8,10
3,"又不得闲",4,3,3,3
2,"又不大",3,7,8,10
3,"又不大吃",4,3,3,3
2,"又不肯",3,6,7,8
3,"又不肯叫",4,2,2,2
2,"又不会",3,6,6,6
2,"又不在家",4,5,5,5
2,"又不曾",3,5,5,5
2,"又不便",3,5,5,5
2,"又不认得",4,2,2,2
2,"又不听见",4,2,2,2
2,"又不叫我去",5,2,2,2
2,"又不叫你",4,2,2,2
2,"又不像是恼",5,2,2,2
2,"又不与别",4,2,2,2
1,"又说",2,124,141,261
2,"又说道",3,38,38,38
2,"又说了一回话",6,5,5,5
2,"又说了一会子",6,3,3,3
2,"又说了几句",5,3,5,9
3,"又说了几句话",6,4,4,4
3,"又说了几句闲话儿",8,2,2,2
2,"又说了两句闲话",7,2,2,2
2,"又说了些闲话",6,2,2,2
2,"又说我",3,6,8,11
3,"又说我们不",5,2,2,2
2,"又说他必",4,2,2,2
2,"又说些闲话",5,4,4,4
2,"又说什么",4,5,5,5
2,"又说笑了一回",6,2,2,2
2,"又说笑话",4,2,2,2
1,"又是",2,80,119,249
2,"又是一",3,12,14,19
3,"又是一个",4,5,5,5
2,"又是个",3,12,15,18
2,"又是什么",4,12,13,15
3,"又是什么事",5,3,3,3
2,"又是那起没脸",6,2,2,2
2,"又是那位",4,2,2,2
2,"又是那个",4,2,2,2
2,"又是笑",3,8,8,8
2,"又是谁家有",5,2,2,2
2,"又是怎样",4,3,3,3
2,"又是怎么",4,2,2,2
2,"又是伤心",4,5,5,5
2,"又是心疼",4,3,3,3
2,"又是心酸",4,2,2,2
2,"又是气",3,4,4,4
2,"又是这",3,4,4,4
2,"又是老亲",4,2,2,2
2,"又是亲戚",4,3,3,3
2,"又是疼",3,3,3,3
2,"又是可笑",4,2,2,2
1,"又有",2,78,106,212
2,"又有一",3,11,15,27
3,"又有一副对",5,1,2,5
4,"又有一副对联",6,4,4,4
3,"又有一个",4,5,5,5
2,"又有人",3,7,9,11
2,"又有什么",4,7,7,7
2,"又有两个",4,5,5,5
2,"又有贾",3,4,5,6
3,"又有贾妃",4,2,2,2
2,"又有这",3,4,4,4
2,"又有林之孝",5,3,3,3
2,"又有宝",3,4,4,4
2,"又有何",3,4,4,4
2,"又有些",3,4,4,4
2,"又有许多的",5,2,2,2
1,"又见",2,36,59,116
2,"又见贾",3,3,5,9
3,"又见贾母",4,3,3,3
3,"又见贾政",4,3,3,3
2,"又见宝玉",4,5,5,5
2,"又见宝钗",4,4,4,4
2,"又见他",3,8,8,8
2,"又见平儿",4,3,4,5
3,"又见平儿也",5,2,2,2
2,"又见一个",4,5,5,5
2,"又见凤姐",4,4,4,4
2,"又见王夫人",5,3,3,3
2,"又见林黛玉",5,3,3,3
2,"又见那",3,3,3,3
2,"又见后面",4,2,2,2
2,"又见人",3,3,3,3
2,"又见了",3,3,3,3
1,"又问",2,65,75,113
2,"又问道",3,19,19,19
2,"又问他",3,6,6,6
2,"又问了",3,4,4,4
2,"又问众人",4,2,2,2
1,"又道",2,108,109,111
1,"又要",2,56,74,94
2,"又要起来",4,2,2,2
2,"又要吵",3,3,3,3
1,"又命",2,36,52,92
2,"又命人",3,5,6,9
3,"又命人去",4,4,4,4
2,"又命将",3,8,8,8
2,"又命小",3,3,4,5
3,"又命小丫头",5,2,2,2
2,"又命宝玉",4,3,3,3
2,"又命他",3,5,5,5
2,"又命一个老",5,2,2,2
2,"又命李",3,3,3,3
1,"又笑",2,11,19,83
2,"又笑道",3,45,45,45
1,"又想",2,17,26,83
2,"又想起",3,13,17,24
2,"又想着",3,11,11,11
2,"又想到",3,8,9,11
3,"又想到自己",5,3,3,3
2,"又想了一",4,2,3,6
3,"又想了一想",5,4,4,4
2,"又想道",3,5,5,5
1,"又叫",2,38,49,76
2,"又叫人",3,4,6,8
3,"又叫人笑话",5,2,2,2
3,"又叫人出去",5,2,2,2
2,"又叫他",3,6,6,6
2,"又叫贾琏",4,2,2,2
2,"又叫我",3,4,4,4
2,"又叫道",3,3,3,3
2,"又叫住",3,3,3,3
1,"又来",2,31,41,70
2,"又来了",3,15,16,18
2,"又来问我",4,2,2,2
1,"又听",2,18,26,70
2,"又听见",3,17,19,25
3,"又听见说",4,6,6,6
2,"又听得",3,8,8,8
2,"又听说道",4,4,4,4
2,"又听袭人叹道",6,2,2,2
2,"又听道",3,3,3,3
1,"又没",2,32,37,60
2,"又没有",3,12,13,14
2,"又没人",3,4,4,4
2,"又没了",3,4,4,4
2,"又没个",3,4,4,4
1,"又向",2,21,30,58
2,"又向贾",3,3,5,9
3,"又向贾母",4,0,2,4
4,"又向贾母笑道",6,2,2,2
4,"又向贾母道",5,2,2,2
3,"又向贾珍道",5,2,2,2
2,"又向宝玉",4,2,3,6
3,"又向宝玉道",5,4,4,4
2,"又向宝钗道",5,2,2,2
2,"又向众人",4,1,2,3
3,"又向众人道",5,2,2,2
2,"又向薛姨妈",5,3,3,3
2,"又向袭人",4,3,3,3
2,"又向平儿",4,3,3,3
2,"又向红玉笑道",6,2,2,2
1,"又将",2,40,46,56
2,"又将自己的",5,3,3,3
1,"又怕",2,28,34,52
2,"又怕他",3,7,8,9
3,"又怕他们",4,2,2,2
2,"又怕人",3,5,5,5
2,"又怕贾母",4,2,2,2
1,"又恐",2,29,34,51
