level,string,length,n_leave_node,n_ending,n
2,"了三分气",4,2,2,2
1,"了茶",2,35,37,60
2,"了茶来",3,19,21,23
1,"了呢",2,59,59,59
1,"了什么",3,42,46,57
2,"了什么话",4,4,4,4
1,"了手",2,49,51,57
2,"了手脚",3,6,6,6
1,"了头",2,51,53,57
1,"了凤姐",3,32,36,47
2,"了凤姐的",4,4,4,4
1,"了门",2,40,44,53
2,"了门杯",3,5,5,5
1,"了心",2,42,44,52
2,"了心了",3,7,7,7
1,"了就",2,19,28,52
2,"了就是了",4,5,5,5
2,"了就好了",4,2,2,2
1,"了也",2,16,23,52
2,"了也是",3,6,7,8
2,"了也没有",4,2,2,2
2,"了也罢",3,4,4,4
2,"了也未可",4,1,2,3
3,"了也未可知",5,2,2,2
1,"了下来",3,31,31,31
1,"了下去",3,11,11,11
1,"了王夫人",4,27,32,40
2,"了王夫人凤姐",6,2,2,2
1,"了酒",2,39,43,48
1,"了过去",3,13,13,13
1,"了二奶奶",4,8,8,8
1,"了二百两",4,3,3,3
1,"了二三十两",5,2,2,2
1,"了二门",3,3,3,3
1,"了二年",3,3,3,3
1,"了事",2,37,40,46
1,"了再说",3,7,7,7
1,"了再来",3,4,4,4
1,"了再去",3,4,4,4
1,"了再走",3,3,3,3
1,"了再瞧",3,3,3,3
1,"了衣服",3,23,25,27
1,"了衣裳",3,8,9,10
2,"了衣裳出来",5,2,2,2
1,"了许多",3,30,34,39
2,"了许多东西",5,3,3,3
1,"了四个",3,5,6,7
2,"了四个儿子",5,2,2,2
1,"了房门",3,11,11,11
1,"了房子",3,4,4,4
1,"了众人",3,23,24,25
1,"了银子",3,22,23,25
1,"了薛姨妈",4,18,18,18
1,"了薛蟠一",4,2,2,2
1,"了钱",2,23,25,28
2,"了钱就",3,3,3,3
1,"了自己",3,8,11,21
2,"了自己的",4,4,5,6
3,"了自己的嘴",5,2,2,2
1,"了又",2,22,24,26
1,"了药",2,18,20,25
2,"了药来",3,4,4,4
1,"了黛玉",3,17,19,24
2,"了黛玉的",4,5,5,5
1,"了回来",3,9,9,9
1,"了官",2,18,20,23
1,"了亲",2,15,18,23
1,"了风",2,13,15,22
2,"了风声",3,5,5,5
2,"了风了",3,4,4,4
1,"了外人",3,3,3,3
1,"了上来",3,5,5,5
1,"了上去",3,3,3,3
1,"了刘姥姥",4,14,17,20
2,"了刘姥姥进来",6,2,2,2
1,"了眼",2,16,18,20
1,"了袭人",3,16,17,19
2,"了袭人的手",5,2,2,2
1,"了邢夫人",4,7,7,7
1,"了还不",3,5,5,5
1,"了话",2,19,19,19
1,"了倒也",3,4,4,4
1,"了倒不好",4,2,2,2
1,"了倒好",3,3,3,3
1,"了礼",2,14,15,18
2,"了礼来",3,4,4,4
1,"了玉",2,12,15,18
1,"了是的",3,3,3,3
1,"了结",2,11,14,17
1,"了方子",3,8,9,11
1,"了学",2,14,15,17
2,"了学了",3,3,3,3
1,"了嘴",2,11,13,16
1,"了姑娘",3,8,9,11
2,"了姑娘的",4,3,3,3
1,"了秦钟",3,7,7,7
1,"了秦氏",3,6,6,6
1,"了时",2,12,13,14
1,"了正经事",4,2,2,2
1,"了年纪",3,7,8,9
2,"了年纪的人",5,2,2,2
1,"了书",2,10,11,13
1,"了给他",3,8,8,8
1,"了紫鹃",3,7,9,11
1,"了柳家的",4,2,2,2
1,"了女儿",3,6,6,6
1,"了罪",2,9,9,9
1,"了红玉",3,3,3,3
1,"了生气",3,2,2,2
1,"了急得",3,2,2,2
1,"了咱们",3,6,7,8
2,"了咱们家",4,2,2,2
1,"了儿子",3,4,4,4
1,"了贼了",3,2,2,2
1,"了碗箸来",4,2,2,2
1,"了碗大",3,2,2,2
1,"了死罪",3,2,2,2
1,"了无数",3,2,2,2
1,"了请帖",3,2,2,2
1,"了彩云",3,2,2,2
1,"了字眼",3,2,2,2
1,"了妹妹",3,4,4,4
1,"了妹子",3,2,2,2
1,"了地下",3,2,2,2
1,"了名字",3,2,2,2
1,"了身子",3,5,5,5
1,"了盒子",3,5,5,5
1,"了男人",3,3,3,3
1,"了母亲",3,5,5,5
1,"了对牌",3,4,4,4
1,"了对半",3,2,2,2
1,"了娘娘",3,1,2,4
2,"了娘娘的",4,3,3,3
1,"了城门",3,2,2,2
1,"了史姑娘",4,2,2,2
1,"了史大",3,2,2,2
1,"了原故",3,2,2,2
1,"了功课",3,2,2,2
1,"了探春一",4,2,2,2
1,"了题目",3,4,4,4
1,"了知县",3,2,2,2
1,"了海疆",3,3,3,3
1,"了棺材",3,4,4,4
1,"了早饭",3,4,4,4
1,"了帖子",3,2,2,2
1,"了帖儿",3,2,2,2
1,"了在家",3,2,2,2
1,"了告诉",3,4,4,4
1,"了先生",3,2,2,2
1,"了傍人",3,2,3,4
1,"了莺儿过来",5,2,2,2
1,"了沁芳桥",4,2,2,2
1,"了沁芳亭",4,2,2,2
1,"了旺儿媳妇",5,2,2,2
1,"了黄汤",3,3,3,3
1,"了走了",3,2,2,2
1,"了赃证",3,2,2,2
1,"了藕香榭",4,2,2,2
1,"了肚子",3,3,3,3
1,"了恐怕",3,2,2,2
1,"了工夫",3,3,3,3
1,"了岂不",3,3,3,3
1,"了完事",3,3,3,3
1,"了姨妈",3,2,2,2
1,"了周瑞",3,1,2,3
2,"了周瑞家的",5,2,2,2
1,"了公子",3,2,2,2
1,"了之后",3,2,2,2
1,"了被褥",3,2,2,2
1,"了绢子来",4,2,2,2
1,"了素服",3,2,2,2
1,"了秋爽斋",4,2,2,2
1,"了祖宗",3,2,2,2
1,"了痰盒",3,2,2,2
1,"了甚喜",3,2,2,2
1,"了消息",3,2,2,2
1,"了洗手",3,2,2,2
1,"了怎么",3,2,2,2
1,"了很好",3,2,2,2
1,"了强盗",3,2,2,2
1,"了弟子",3,2,2,2
1,"了庵门",3,2,2,2
1,"了婆子",3,2,2,2
1,"了墙就",3,2,2,2
1,"了垂花门",4,2,2,2
1,"了吓的",3,2,2,2
1,"了卷册",3,2,2,2
1,"了何三",3,2,2,2
0,"的",1,4449,5277,15689
1,"的人",2,343,394,624
2,"的人都",3,10,16,26
3,"的人都是",4,4,4,4
3,"的人都不",4,4,4,4
2,"的人也",3,7,11,23
3,"的人也不",4,6,7,10
4,"的人也不少",5,4,4,4
2,"的人物",3,7,7,7
2,"的人就",3,7,7,7
2,"的人多",3,7,7,7
2,"的人品",3,5,6,7
3,"的人品行事",5,2,2,2
2,"的人呢",3,6,6,6
2,"的人还",3,6,6,6
2,"的人的",3,6,6,6
2,"的人一个不许",6,2,2,2
2,"的人说的",4,2,2,2
2,"的人知道了",5,2,2,2
2,"的人见是",4,2,2,2
2,"的人已经",4,2,2,2
1,"的事",2,267,306,457
2,"的事情",3,32,33,34
2,"的事来",3,20,20,20
2,"的事都",3,7,7,7
2,"的事说了",4,1,2,3
3,"的事说了一遍",6,2,2,2
2,"的事我不",4,1,2,3
3,"的事我不知道",6,2,2,2
2,"的事还不",4,2,2,2
2,"的事没有",4,2,2,2
1,"的话",2,285,315,441
2,"的话来",3,17,17,17
2,"的话也说了一",6,1,2,3
3,"的话也说了一遍",7,2,2,2
2,"的话也不",4,3,3,3
2,"的话了",3,11,11,11
2,"的话述了一遍",6,6,6,6
2,"的话都说",4,2,2,2
2,"的话细细的",5,2,2,2
1,"的是",2,126,154,257
2,"的是的",3,10,10,10
2,"的是谁",3,6,6,6
2,"的是老太太的",6,2,2,2
2,"的是他",3,5,5,5
2,"的是一",3,5,5,5
2,"的是不",3,4,4,4
2,"的是邢夫人",5,2,2,2
2,"的是林姑娘",5,2,2,2
2,"的是我的",4,2,2,2
2,"的是八义",4,2,2,2
1,"的一",2,47,72,245
2,"的一个",3,33,39,50
3,"的一个人",4,4,4,4
3,"的一个小",4,3,3,3
3,"的一个大",4,3,3,3
3,"的一个丫头",5,2,2,2
2,"的一声",3,28,31,39
2,"的一般",3,16,16,16
2,"的一样",3,16,16,16
2,"的一笑",3,9,9,9
2,"的一面劝",4,2,2,2
2,"的一干人",4,3,3,3
2,"的一家",3,3,4,5
3,"的一家子",4,2,2,2
2,"的一分",3,5,5,5
2,"的一张椅",4,2,2,2
2,"的一字不",4,2,2,2
1,"的了",2,172,173,199
2,"的了不得",4,27,27,27
1,"的不",2,45,63,167
2,"的不是",3,31,33,39
3,"的不是了",4,6,6,6
2,"的不成",3,12,12,12
2,"的不好",3,6,7,9
3,"的不好了",4,3,3,3
2,"的不敢",3,7,7,7
2,"的不同",3,4,4,4
2,"的不过是",4,2,2,2
1,"的东西",3,111,125,161
2,"的东西都",4,12,13,15
3,"的东西都是",5,3,3,3
2,"的东西也",4,6,6,6
2,"的东西给",4,4,4,4
2,"的东西一概",5,2,2,2
1,"的好",2,88,104,164
2,"的好处",3,24,24,24
2,"的好了",3,7,7,7
2,"的好些",3,5,5,5
2,"的好事",3,5,5,5
2,"的好起来",4,4,4,4
2,"的好心",3,4,4,4
1,"的心",2,76,94,163
2,"的心事",3,19,21,24
2,"的心里",3,9,9,9
